state_region,city_tier,employment_type,monthly_income_inr,age,loan_amount_inr,loan_tenure_months,loan_purpose,existing_emis_inr,credit_score,prior_defaults,active_loans,bank_account_age_years,digital_payment_score,residential_status,collateral_type,dependents,delinquency_30dpd_last_12m,debt_to_income_pct,loan_to_income_ratio,defaulted
East,Metro,Salaried,46300,50,484000,24,Education,14300,694,0,0,1.9,62,Family owned,Vehicle,3,0,35.0,0.87,0
South,Tier 2,Self-employed,60800,54,418000,12,Home improvement,21800,689,0,0,9.1,44,Family owned,None,2,0,41.3,0.57,0
Central,Tier 3/Rural,Gig/Contract,76500,39,320000,36,Personal,31100,746,0,3,6.6,90,Owned,None,2,0,41.8,0.35,0
West,Tier 3/Rural,Salaried,20400,24,419000,18,Education,7300,584,0,1,4.1,88,Owned,Property,3,1,46.6,1.71,0
North,Tier 1,Salaried,70300,54,217000,18,Education,9000,707,0,1,3.7,55,Owned,Gold,2,1,14.4,0.26,0
Northeast,Metro,Salaried,33400,26,616000,18,Home improvement,4000,606,0,1,2.7,66,Owned,None,0,1,21.7,1.54,0
East,Tier 3/Rural,Gig/Contract,148700,39,481000,24,Consumer durable,15000,658,0,0,1.6,79,Rented,Gold,3,1,11.4,0.27,0
East,Tier 3/Rural,Self-employed,38000,33,120000,24,Medical,14700,786,0,1,2.5,59,Company provided,None,1,1,39.9,0.26,0
North,Tier 2,Gig/Contract,69500,32,258000,36,Business,29600,799,0,1,2.9,92,Owned,Vehicle,1,0,43.6,0.31,0
South,Tier 2,Salaried,38200,44,76000,36,Business,6500,808,0,0,9.8,65,Owned,Gold,3,0,17.5,0.17,0
South,Tier 1,Salaried,141200,38,562000,24,Business,9300,776,0,2,5.1,58,Family owned,None,1,0,8.2,0.33,0
Central,Tier 1,Self-employed,31800,41,242000,24,Business,5300,708,0,0,6.9,39,Rented,None,1,0,19.7,0.63,0
West,Metro,Salaried,80100,28,502000,12,Personal,25400,724,0,3,6.1,44,Owned,None,3,0,36.7,0.52,0
East,Metro,Gig/Contract,59600,34,195000,24,Business,14300,578,0,3,3.4,78,Owned,Gold,2,1,25.3,0.27,0
South,Tier 1,Salaried,52700,28,63000,48,Home improvement,6400,635,0,0,9.5,71,Family owned,None,1,0,12.4,0.1,0
North,Tier 3/Rural,Salaried,47900,34,1160000,24,Education,8200,682,1,1,11.8,82,Owned,Vehicle,4,0,26.7,2.02,0
West,Metro,Self-employed,29200,35,228000,60,Medical,2100,644,0,3,8.2,57,Rented,None,3,0,8.4,0.65,0
North,Tier 1,Self-employed,12000,54,109000,12,Business,3500,657,1,1,7.6,37,Family owned,None,3,1,36.4,0.76,0
East,Tier 2,Self-employed,76200,33,440000,36,Two-wheeler,33400,706,0,2,2.9,58,Owned,None,1,0,45.4,0.48,0
West,Metro,Salaried,32200,21,785000,36,Personal,1500,720,0,1,9.6,100,Family owned,None,3,0,11.1,2.03,0
East,Metro,Business owner,80300,50,183000,36,Personal,16600,682,0,1,8.3,50,Owned,None,2,0,21.3,0.19,0
South,Tier 2,Business owner,51200,40,196000,36,Two-wheeler,7000,646,1,0,4.7,66,Owned,Gold,2,1,14.7,0.32,0
Northeast,Tier 1,Business owner,81600,35,244000,6,Education,19200,786,0,1,2.3,24,Owned,Property,0,0,28.3,0.25,0
Central,Tier 2,Self-employed,65600,32,102000,36,Personal,2500,644,0,0,4.4,58,Company provided,None,2,0,4.2,0.13,0
East,Tier 3/Rural,Self-employed,12000,27,133000,24,Personal,5700,714,0,1,5.8,60,Owned,Gold,1,0,51.9,0.92,0
North,Metro,Self-employed,59200,55,665000,24,Personal,16900,714,0,0,8.7,73,Owned,None,3,0,33.0,0.94,0
South,Tier 3/Rural,Salaried,34900,37,192000,6,Home improvement,6100,777,0,1,9.6,61,Family owned,Gold,2,0,26.2,0.46,0
North,Tier 3/Rural,Salaried,80100,21,121000,12,Home improvement,20800,751,0,1,5.5,40,Owned,None,2,0,27.2,0.13,0
North,Tier 3/Rural,Self-employed,58400,39,156000,60,Two-wheeler,12700,745,0,1,5.2,55,Family owned,Gold,1,0,22.2,0.22,0
West,Tier 2,Salaried,58800,48,420000,18,Personal,14400,781,0,1,10.5,63,Rented,None,1,0,28.3,0.6,0
East,Tier 2,Salaried,36300,38,58000,24,Personal,6700,718,0,0,7.1,49,Rented,None,2,0,19.1,0.13,0
Northeast,Tier 2,Business owner,25500,27,247000,12,Personal,6100,525,1,1,8.3,52,Family owned,Gold,3,1,31.6,0.81,0
South,Tier 2,Salaried,33300,26,1036000,36,Two-wheeler,8300,824,0,3,4.7,85,Family owned,None,2,0,33.1,2.59,0
South,Metro,Self-employed,15700,27,782000,36,Personal,600,622,1,1,10.4,56,Owned,None,0,3,17.0,4.15,0
South,Tier 3/Rural,Self-employed,30500,51,303000,60,Two-wheeler,6800,607,0,2,3.9,75,Company provided,None,1,0,23.9,0.83,0
North,Tier 2,Salaried,18900,35,492000,24,Consumer durable,4900,766,0,2,16.2,64,Family owned,Fixed deposit,1,0,36.2,2.17,0
North,Tier 3/Rural,Business owner,19100,21,489000,18,Education,4100,752,0,2,2.6,45,Family owned,None,2,2,35.0,2.13,0
South,Tier 1,Salaried,45000,40,193000,6,Medical,6100,730,0,0,6.1,61,Rented,Gold,1,0,20.3,0.36,0
North,Metro,Business owner,56600,37,381000,18,Personal,20200,642,1,0,2.5,72,Rented,Vehicle,0,2,39.2,0.56,0
West,Tier 2,Gig/Contract,41500,32,668000,36,Two-wheeler,500,797,0,2,7.9,98,Rented,Gold,1,1,5.5,1.34,0
South,Tier 2,Salaried,32100,26,92000,84,Consumer durable,5200,748,0,2,11.2,53,Owned,None,2,0,16.5,0.24,0
East,Tier 1,Salaried,25100,25,304000,6,Two-wheeler,8300,886,0,1,8.3,65,Rented,Gold,2,1,52.2,1.01,1
East,Tier 1,Salaried,35400,47,264000,24,Business,7100,650,1,0,4.5,83,Rented,None,0,1,23.0,0.62,0
South,Tier 1,Salaried,26800,38,223000,36,Consumer durable,800,634,1,0,2.5,90,Rented,Gold,2,1,5.2,0.69,0
East,Tier 2,Salaried,40800,41,211000,24,Business,5100,697,0,2,4.5,55,Rented,None,2,0,14.5,0.43,0
East,Tier 1,Unemployed,18300,38,243000,36,Two-wheeler,2600,656,0,1,8.4,64,Rented,Vehicle,0,1,17.7,1.11,0
South,Tier 3/Rural,Salaried,62100,39,257000,24,Education,15100,679,0,0,3.1,87,Rented,Vehicle,0,1,26.0,0.34,0
South,Metro,Business owner,30900,31,432000,18,Personal,3100,640,0,3,1.9,76,Rented,None,1,0,17.4,1.17,0
West,Tier 1,Salaried,51900,34,285000,24,Personal,8100,675,0,0,5.1,86,Company provided,None,3,0,17.8,0.46,0
North,Tier 1,Unemployed,68700,48,186000,24,Personal,11000,648,0,1,2.5,88,Family owned,None,0,0,17.1,0.23,0
North,Tier 2,Salaried,50500,50,121000,36,Medical,7800,679,1,0,7.0,77,Owned,None,4,1,16.1,0.2,0
North,Tier 2,Salaried,65500,24,154000,12,Business,9800,752,0,2,5.5,70,Owned,None,2,0,16.8,0.2,0
East,Tier 2,Self-employed,13500,34,248000,24,Two-wheeler,7000,720,0,1,5.0,55,Rented,Gold,2,1,59.1,1.53,0
West,Tier 3/Rural,Salaried,32200,44,132000,60,Personal,8400,859,0,1,17.3,63,Rented,None,4,1,26.7,0.34,0
East,Tier 1,Gig/Contract,77400,55,386000,24,Business,11100,854,0,3,7.6,64,Family owned,Property,1,0,16.3,0.42,0
East,Tier 2,Salaried,55800,54,276000,12,Consumer durable,7900,656,0,2,0.9,89,Owned,None,2,0,18.1,0.41,0
South,Metro,Self-employed,116600,28,439000,60,Two-wheeler,1000,753,0,0,16.0,70,Owned,None,1,1,1.5,0.31,0
West,Tier 1,Self-employed,107700,49,138000,12,Two-wheeler,15900,639,0,2,6.0,70,Rented,None,0,0,15.8,0.11,0
North,Tier 1,Self-employed,49800,37,122000,36,Medical,15600,755,0,2,4.7,49,Family owned,Gold,3,0,32.0,0.2,1
North,Metro,Salaried,36700,46,437000,12,Consumer durable,5000,611,0,1,6.7,89,Company provided,None,0,1,23.1,0.99,0
West,Tier 2,Salaried,24900,44,227000,48,Consumer durable,7600,636,0,1,2.7,53,Family owned,None,3,1,32.3,0.76,0
South,Tier 2,Salaried,32500,23,183000,12,Two-wheeler,4800,747,0,2,5.3,62,Rented,None,3,1,19.2,0.47,0
West,Tier 2,Salaried,33700,41,329000,24,Personal,12400,733,0,0,10.2,91,Family owned,Vehicle,2,0,40.7,0.81,0
East,Tier 2,Salaried,30400,46,321000,84,Education,4200,640,0,1,4.9,83,Owned,Property,2,1,15.0,0.88,0
West,Tier 2,Business owner,25500,36,92000,24,Two-wheeler,11600,658,0,1,4.2,52,Rented,None,3,0,46.9,0.3,0
West,Tier 1,Self-employed,52600,34,514000,18,Medical,12700,516,1,1,3.6,48,Family owned,None,0,1,29.3,0.81,1
West,Metro,Self-employed,107300,21,160000,6,Personal,15600,759,0,4,9.4,63,Rented,None,2,0,16.9,0.12,0
South,Metro,Salaried,70500,43,631000,6,Business,8500,818,0,1,7.0,57,Company provided,None,1,0,26.2,0.75,0
North,Tier 2,Salaried,35300,38,88000,18,Consumer durable,11500,738,0,0,16.0,41,Owned,Fixed deposit,0,0,33.9,0.21,0
South,Tier 3/Rural,Self-employed,73700,27,257000,24,Consumer durable,31800,805,0,0,14.6,53,Owned,None,1,0,44.5,0.29,0
North,Metro,Salaried,51100,33,185000,24,Business,6900,710,0,0,5.1,18,Rented,Gold,1,0,14.9,0.3,0
South,Tier 2,Salaried,41300,38,58000,60,Consumer durable,10900,759,0,3,8.2,83,Family owned,Property,1,0,26.6,0.12,0
Central,Tier 2,Salaried,39900,30,321000,36,Personal,10900,883,0,3,4.6,82,Owned,Gold,2,0,29.4,0.67,0
North,Tier 3/Rural,Self-employed,37800,36,60000,60,Two-wheeler,5200,560,1,1,4.1,92,Family owned,None,2,2,14.0,0.13,0
North,Tier 2,Unemployed,60400,21,173000,24,Personal,36900,750,0,0,4.0,73,Owned,Gold,3,0,62.2,0.24,0
South,Tier 2,Salaried,45600,49,428000,24,Consumer durable,9100,572,0,0,3.7,59,Family owned,None,2,3,23.7,0.78,1
South,Tier 2,Self-employed,28300,36,148000,24,Consumer durable,9000,684,0,0,10.3,85,Rented,None,3,2,33.9,0.44,0
West,Tier 3/Rural,Salaried,27500,25,116000,24,Personal,6800,671,0,3,4.1,54,Owned,Fixed deposit,3,0,26.4,0.35,0
